session_id,target
1,0.0008176550917762471
2,2.2799471505488888e-05
3,4.600572551979367e-06
4,0.00012802606540343752
5,0.0002639758116351999
6,0.0005041311170373899
7,4.9525313209599205e-05
8,0.0018872569328166574
9,0.000843942550928071
10,0.012955064749206652
11,0.0019012200255472793
12,0.0002749343237241837
13,0.00060484550090917
14,0.220656624763069
15,0.0006909827446169721
16,0.001890246603000372
17,0.03478683547707254
18,0.00020527830142152243
19,0.002760832228432614
20,0.000115190107263838
21,0.03871950145888126
22,2.145941324467392e-05
23,0.0003562329252774124
24,0.003363094343888835
25,0.005658778727690996
26,0.00025454355916975773
27,0.0017981579404682735
28,2.242008201835076e-05
29,0.004619586322688434
30,0.003087235342674888
31,0.13820221116759548
32,0.1832350135173328
33,0.0010316875714079683
34,0.0003256959497215326
35,0.005233687924975409
36,6.566878954124401e-05
37,9.125660660721347e-06
38,4.340548085624569e-05
39,0.0013969110538449483
40,0.00013237374859796286
41,0.010244623797699337
42,0.0013050852174055138
43,0.001257726196670845
44,4.224487577850084e-05
45,0.1266529543554784
46,0.0025853703703204076
47,0.0004095986487672302
48,0.0001733825272586327
49,0.001244584406329232
50,0.0003640993154607938
51,2.7365318211466755e-05
52,0.0003512785786294249
53,0.009626441353360377
54,6.736448842936027e-05
55,0.0283217265701916
56,0.0006958496314112717
57,2.0816898909231273e-05
58,7.86092067337991e-05
59,8.289961936287035e-05
60,1.0100094431068837e-05
61,0.0003917080030783856
62,0.0021999465608159487
63,2.4350035039848836e-05
64,0.00982132807579213
65,0.00025100553396794495
66,5.9986673918285154e-05
67,0.002785561901880709
68,0.021796416746418173
69,0.006948564437625072
70,0.0003422194331715204
71,0.01705351538066831
72,0.00047753536584430745
73,0.05005829647432625
74,4.535505717598885e-05
75,0.00011298307068592686
76,0.00018043598925132919
77,0.0006726073252715888
78,0.0025342540757691814
79,4.470593878171342e-05
80,6.524104979832023e-05
81,0.00048240227549992804
82,0.00046826946753410014
83,4.720298542668562e-05
84,0.48215415967933506
85,0.001200985414102279
86,0.00017614371425684757
87,0.005967209900701409
88,0.0002764679471500595
89,0.0002916144027906671
90,0.06137311260456513
91,0.0003930412045100491
92,4.351305070937031e-05
93,0.1147558668227596
94,0.0009188133591632807
