session_id,target
1,-6.4417486889923
2,-10.33343502824341
3,-12.18038596526545
4,-8.770179428445086
5,-7.9130814906569835
6,-7.035859485362819
7,-8.481487081387883
8,-5.042057422793672
9,-6.8141489941043245
10,-4.323667454248602
11,-6.1212386550462625
12,-7.978677643498699
13,-7.181828739320333
14,-1.5051059639589772
15,-6.663521979373447
16,-5.794734706852923
17,-3.383881424243167
18,-8.369277822761592
19,-5.200005350786275
20,-8.796632560126378
21,-3.2840395230002777
22,-9.195364631050401
23,-7.716614622407123
24,-4.812154723675513
25,-4.621648376332842
26,-8.1182289612625
27,-5.9582068403415125
28,-9.998595028650058
29,-5.532472300255722
30,-5.163230093016647
31,-2.406911671256779
32,-1.8383549055993433
33,-6.291352352157867
34,-7.492657447106342
35,-5.015365669834793
36,-8.536520596403697
37,-11.156216205679435
38,-9.767442816762822
39,-6.008967777373277
40,-8.531733891258767
41,-4.284478411732495
42,-6.017991308514734
43,-6.4523398697517464
44,-9.46634778205198
45,-1.998471120633804
46,-5.673283694043407
47,-7.505717462928449
48,-7.9727978555215095
49,-6.616219127281433
50,-7.3550264993899015
51,-10.340783702583368
52,-7.563280988569646
53,-4.243261928143361
54,-8.700565787166344
55,-3.5184061590942406
56,-6.111444075587447
57,-10.105914597260032
58,-8.156491173865119
59,-8.92211259920075
60,-10.779716439943167
61,-7.290960864568849
62,-5.424825239578955
63,-9.829087101127328
64,-4.506615345302562
65,-8.042004418227677
66,-9.543121567748651
67,-5.41992393549256
68,-4.007613260265678
69,-4.473160145347679
70,-7.365640032463381
71,-3.7797415329062005
72,-7.343850821836937
73,-2.501709162043151
74,-9.726604357703545
75,-8.681471969123942
76,-8.18389449209894
77,-6.267977210263668
78,-5.6945503010670135
79,-9.201327572962125
80,-9.12563638385584
81,-7.000288911737796
82,-6.636319467658207
83,-9.521236441195972
84,-0.8909324333149738
85,-6.6823735554422345
86,-8.433571860666678
87,-4.596981809849509
88,-7.847841385700591
89,-6.981409851210859
90,-2.9683767660114024
91,-7.529055682144802
92,-9.79449230211723
93,-2.255890513475325
94,-6.221059230329382
95,-4.22007102698757
96,-10.225164396306793
97,-3.424733343446723
98,-7.475980626689863
99,-7.919790061129946
100,-6.350575553713015
101,-9.070529796486577
102,-4.4490334177906155
103,-6.307554747826167
104,-5.237544350237633
105,-7.436625461942764
106,-6.9117343512677
107,-5.2044834596640905
108,-6.519147232167773
109,-7.644181397768211
110,-5.976163906286496
111,-6.470611527335628
112,-9.44040324055017
113,-6.004323221737118
114,-9.333626578563692
115,-8.10580793133038
116,-9.394625596699512
117,-5.715694665951013
118,-6.330703280831409
119,-8.24816652574205
120,-5.853540289106456
121,-8.434441303013362
122,-7.938790445126107
123,-6.816053810090488
124,-6.071923021093696
125,-4.121035820564689
126,-10.038166391085538
127,-11.416059493775515
128,-6.629958791478871
129,-8.38209485968444
130,-4.895099351768903
131,-6.610578869565386
132,-6.132544169999818
133,-4.3983677653284525
134,-6.368161610997532
135,-7.9383014335368065
136,-5.701749922014354
137,-6.830930498295998
138,-5.521337383643605
139,-8.815002086253463
140,-6.863337357281006
141,-10.86920196311181
142,-4.638058656860603
143,-5.998994571989235
144,-6.3287552793063675
145,-10.358498468959485
146,-6.013182841727457
147,-6.9056925553840145
148,-2.746918694562531
149,-6.768859970958152
150,-2.929614730280673
151,-8.742824727790985
152,-4.035430599138747
153,-7.275359110224575
154,-4.690213403309495
155,-6.45497240968571
156,-8.067988270721008
157,-7.271473517593874
158,-4.182910811824184
159,-8.840680376713697
160,-8.100684948857637
161,-2.3771504703812316
162,-8.191657161617506
163,-6.5988656454531
164,-6.7565024734614845
165,-11.692357804495568
166,-7.1075110643774435
167,-4.3578486615797845
168,-6.574401192611021
169,-7.218630978182115
170,-7.37109205545498
171,-8.985613797859719
172,-4.918351455091218
173,-4.761196270858014
174,-8.646207629907995
175,-1.7772932724560966
176,-3.4292264908417147
177,-4.652121058154591
178,-7.081625381859187
179,-8.9420638029436
180,-6.224541254630229
181,-7.056731031655906
182,-7.0318819977282345
183,-7.649821264684709
184,-9.472839003137146
185,-6.022753261164749
186,-5.573959252295166
187,-10.87836927973384
188,-10.107705828523475
189,-5.693279893662228
190,-4.9940555681093866
191,-7.6582916077661904
192,-6.752639993600374
193,-2.609483340758417
194,-5.477882061857335
195,-7.189488279317327
196,-10.213467229541964
197,-5.507448902830368
198,-5.496253981991604
199,-5.523493281419205
200,-8.492524197119256
201,-8.255150110418583
202,-4.2840452606314985
203,-9.906673627523261
204,-5.277768895313392
205,-6.164903917449863
206,-11.969735741430178
207,-6.595998288580084
208,-3.263493150575033
209,-11.418021123533814
210,-4.948723985903299
211,-5.507617063690646
212,-4.6379398419169355
213,-8.429083927303594
214,-2.779760351769883
215,-4.268053376038223
216,-5.73261350590126
217,-2.875592935323237
218,-5.639578103506597
219,-5.965200462713392
220,-6.15951228396192
221,-6.863504322180757
222,-7.632878829018737
223,-2.727857166979425
224,-5.3211819126669395
225,-4.559234325577148
226,-4.5242525650575915
227,-2.506000393806812
228,-5.60694140818402
229,-7.790514953959873
230,-3.6354306632594042
231,-8.533429110682231
232,-9.085549059896497
233,-7.58865894387906
234,-5.981868680645605
235,-9.529288863213678
236,-5.93270935074096
237,-6.06708846688838
238,-8.56023917208212
239,-6.113130489257444
240,-6.615279756243187
241,-7.799440699490609
242,-12.434643471907092
243,-10.732292407771164
244,-9.16669485945568
245,-7.978520600318652
246,-8.301799109128247
247,-2.5118428200145373
248,-5.5514649933208755
249,-9.462126353064368
250,-7.104192063953764
251,-2.922146853711026
252,-7.225578982380775
253,-7.691103494473875
254,-6.570661088015752
255,-7.41914882729157
256,-12.68966441245284
257,-6.072620978209221
258,-4.624181771177493
259,-5.871038156795754
260,-7.00189960244932
261,-7.713070031966901
262,-3.504350524543137
263,-7.340496482580192
264,-5.103361050961758
265,-6.022349310073606
266,-8.124826522576422
267,-13.950891661714502
